order_index,speaker,text
515,Jim,So all that business about joining the euro ... ?
517,Jim,Why is he so keen on Europe?
519,Jim,Is that why he leaked this to his banking chums?
521,Jim,He's going co have some explaining to do when they realise we're not joining.
524,Humphrey,"I've had a quick word with the head of the ECB, Prime Minister. He's talking to everyone."
525,Jim,"Good. So, if they al l agree, we may actually have this loan in place. Nothing else can go wrong tonight, can it?"
526,Humphrey,"I don't see how, Prime Minister."
528,Bernard,Prime Minister -
529,Jim,"Cheer up, Bernard, have a drinkie, it looks as though your index-linked pension may be safe after all."
530,Bernard,"No, Prime Minister - I'm - um - I'm afraid we have a... a situation."
531,Jim,Can't it wait till the morning?
532,Bernard,"No, it can't. We have a problem. With the Kumanranistan Foreign Secretary."
534,Jim,Nice chap.
535,Bernard,Yes - well...
537,Bernard,"He just buttoneholed me in the hall. It seems that Mr Aitikeev wants us to provide a... um, sexual partner for him tonight."
538,Jim,What a prat.
540,Jim,"I always said he was a prat, didn't I?"
541,Humphrey,"Boundaries have to be drawn, Bernard."
542,Bernard,"I know. Sir Humphrey - Prime Minister - with respect, it is our problem. I ... I confess I didn't handle it as diplomatically as I should have. I'm afraid he felt slighted. He indicated that unless we find him what he wants he won't sign the contract tomorrow."
544,Jim,My God!
545,Humphrey,How did this happen?
546,Jim,Why didn't you say you'd try to find him someone?
547,Bernard,"I should have but, frankly, I was a little shocked."
548,Humphrey,(judicious agreement) Yes.
550,Bernard,"How, exactly?"
551,Humphrey,"Yes, how, exactly? This is Chequers, not Soho."
553,Bernard,(aghast) Me?
554,Jim,Are you serious? What about all the security at the gate?
556,Jim,Don't they? Why not? And where do you suggest we get a chopper at this time of night?
557,Bernard,We do have an RAF helicopter standing by this weekend. The one the Queen uses.
558,Jim,"Do I understand this correctly? You want us to bring a call girl here, in the royal helicopter? For the Kumranistan Foreign Minister? Would you say that's an appropriate use of taxpayers' money?"
563,Humphrey,I think we should talk co Mr Aitikeev about this.
564,Jim,Who should?
565,Humphrey,You should.
566,Jim,I'm not doing it.
567,Humphrey,"The Foreign Secretary's his opposite number, but you refused to invite him this weekend. Clearly you should have. Claire can't do it, she's a woman. You outrank him, so it has to be you."
568,Jim,"I can't possibly do it. This conversation is for a subordinate. Like you, Humphrey."
570,Humphrey,"Perhaps you're right. So I suggest that, as Mr Aitikeev spoke to Bernard, and as he's the Private Secretary, Bernard should talk to him. I think that would be the diplomatic protocol."
571,Bernard,Um - I can't seem to recall any diplomatic protocol that specifies the Principal Private Secretary does the pimping.
572,Jim,"Well - okay, nor you yourself, maybe, one of your people."
573,Bernard,"I don't have any people here. And Prime Minister, we absolutely can't let anyone else in on this."
574,Jim,Why not?
575,Bernard,"I'm - um, afraid there's more. He has specific - tastes."
576,Jim,"You mean, like blonde or brunette?"
577,Bernard,Not exactly.
578,Jim,"What? You mean, a redhead?"
579,Bernard,"No, sir."
582,Bernard,If only it were that simple.
583,Jim,"Bernard, what sort of woman does he want?"
584,Bernard,Not a woman. A girl. A schoolgirl.
586,Jim,We can't possibly condone that.
587,Bernard,"Of course not, Prime Minister. So, what do you suggest I do?"
589,Bernard,"No. He specified an underage schoolgirl. About twelve years old, preferably. Otherwise the whole deal's off."
590,Jim,How dare you bring such a disgusting proposition to me?!
591,Bernard,"I'm sorry, Prime Minister. Should I have just let the deal and the conference collapse?"
593,Jim,How did he mention it? Was he embarrassed?
594,Bernard,"He said he was making a request in total confidence. I assured him I'm extremely discreet. He said, 'No, I want it to be in total confidence.' ' Fine,' I said. 'No problem.' Then he told me. I thought I must have misheard so I asked him to repeat it. He did. I'm afraid he saw the look on my face. He got angry. Made some threats. Told me to see to it or else."
595,Jim,You should have said it just wasn't possible.
596,Bernard,"I did. He. said they got a man on the moon, we can get a girl from King's Cross."
598,Jim,"But hardly the point, Claire."
599,Humphrey,"Claire, can Mr Aitikeev really wipe out months of diplomacy?"
601,Jim,"Aitikeev wanes this deal, right?"
604,Jim,"Claire, won't Aitikeev lose face if the deal falls apart?"
606,Jim,Why not him?
608,Jim,He certainly won't get any more weapons if he screws us over.
609,Humphrey,Maybe Aitikeev doesn't care about the weapons. Maybe it's just the President who wants them.
611,Jim,Doesn't Aitikeev have to account to his President if this all goes south?
613,Humphrey,There's another possibility. Maybe Aitikeev's bluffing. Maybe it's a test.
614,Jim,A test? Of what?
615,Humphrey,Of our friendship.
616,Jim,We hardly know him.
617,Humphrey,Precisely.
619,Jim,"All I know is, we have to make this deal stick! What happens if it all falls apart now and Kumranistan gets offended?"
621,Jim,It would not! It's a very unstable region. Nuclear proliferation is spreading.
622,Humphrey,"Yes. Proliferating, in fact."
624,Bernard,"No, he's staying overnight too."
626,Jim,"Good idea. Bring him here, right away."
627,Bernard,"(hurrying to the door) Yes, Prime Minister."
629,Jim,Okay. Here's my question: why didn't Ml6 warn us that Aitikeev was a pervert?
630,Humphrey,Perhaps they don't know.
631,Jim,"(getting up) That's their job, isn't it? We could have been blackmailing Kumranisran for donkeys' years, instead of having to give them all those weapons systems."
632,Humphrey,Please don't say it that way.We don't approve of blackmail as an instrument of government policy.
633,Jim,Since when?
634,Humphrey,"Blackmail is criminal, Prime Minister. We use leverage."
636,Jim,Very nice of us. What's this Ambassador like?
637,Humphrey,Very good chap. We were undergraduates together at Balliol.
638,Jim,He's a friend
639,Humphrey,We are friendly.
641,Jim,I wonder... if the President of Kumranistan knows about Mr Airikeev's ... tastes? Can we find out?
644,Jim,Wake up the President of Kumranistan in the middle of the night and ask if he knows his Foreign Minister likes shagging schoolgirls? I'm not sure exactly what would be gained from that.
646,Humphrey,"Not a very good one, dear lady."
648,Jim,"What I meant was, might the Ambassador give us that kind of information?"
649,Humphrey,Who knows
651,Jim,Still humid.
655,Humphrey,How shocking!
657,Jim,Is that supposed tO be my fault too?
659,Jim,"(losing it) Do we have to deal with that tonight? As well as the collapsing conference, the ECB, the BBC, my treacherous Cabinet, my disloyal Party, your leaks, the illegal immigrant, the run on the pound, the Kumranistani paedophiliac... ? Is there anything else, anything else we can pile on me tonight? Oh yes! Global bloody warming, thank you very much!"
663,Humphrey,"Meanwhile, may I suggest that you don't worry too much about global warming?"
664,Jim,Right. I can't do anything about that tonight.
665,Humphrey,"Tell me, how do they know we're all going to drown in fifty years when the weather forecast was so wrong last Friday?"
666,Jim,Because all the scientists agree -
667,Humphrey,So they say. So do the computer models. I know. But why should global-warming computer models be any more accurate than financial ones?
668,Jim,Um...
669,Humphrey,Wall Street computer models were designed to prove sub-prime mortgage derivatives were low risk. These computer models are designed to show global warming is getting worse.
670,Jim,"Come off it, Humphrey."
671,Humphrey,"Remember mad cow disease? Computer models for that proved that we'd be dying in our hundreds of thousands by now. The only thing is, virtually nobody died, did they? Same with the salmonella-in-eggs computer models. Same with swine flu."
672,Jim,"You're suggesting ... what, exactly?"
673,Humphrey,"Global-warming models leave out nearly all the other possible causes except CO2. And then they say 'Look, CO2 has caused all this climate change.'"
674,Jim,What other causes are there?
675,Humphrey,"If the earth were actually getting warmer, one might start by looking at the sun. Solar activity, water vapour, cosmic rays, sun spots, underwater volcanoes -"
676,Jim,"If? The world is getting hotter, the science is .. overwhelming everyone knows that."
677,Humphrey,There's been no rise in temperature since 1998.
678,Jim,"Really? But it was rising, wasn't it?"
679,Humphrey,"From 1975 to 1998, yes, absolutely."
680,Jim,That's what I mean.
681,Humphrey,"But it fell from 1940 to 1975. Even though that was a heavily industrialised period, when CO2 shot up. And overall the temperature isn't rising at all: the hottest year in the twentieth century was 1934."
682,Jim,I read that two thousand five hundred top climate scientists contributed to the last IPCC survey and they all agreed that man-made global warming is a proven fact and trapped greenhouse gases are the cause.
683,Humphrey,"Nearly fifty of them agreed. The others didn't, actually. Bur their views were left out of the summaries given to the press."
685,Humphrey,"Yes. Beautiful, aren't they?"
687,Humphrey,"No, that's caused by warm water masses from the Pacific."
689,Humphrey,Are they?
691,Humphrey,But the people who actually go and count them have found more than there were thirty years ago.
692,Jim,"For heaven's sake, Humphrey! If it's all such nonsense. Why does everyone believe it?..."
693,Humphrey,"(amused) Hard to understand, I agree. But some scientists believe it, lots of others want the billions of pounds you can get for research that seems to show that global warming is caused by greenhouse gases, and most of the scientists who disagree can't get published. Journalists love shock-horror stories, governments want to look virtuous to the voters, lefties want a way to rubbish big oil, and it makes the tree-huggers, whale- savers, anti-capitalists and everyone at the B.BC feel holier than thou and warm and fuzzy inside. What's not to like?"
694,Jim,Why hasn't anyone else said all this?
695,Humphrey,"(chuckles) They certainly do, for all the businessmen who are getting enormous government grants for them. But there isn't enough wind to be practical. The total output of all the UK wind turbines put together is one-fifth of one decent-sized coal-fired power station."
697,Humphrey,My job is not to believe or disbelieve. My job is to weigh up arguments and produce answers. That's what the Civil Service is for.
699,Humphrey,We can't do something about everything. In fact we can't do much about anything. But I can give the Prime Minister ways of deflecting awkward questions and minimising the apparent urgency.
701,Jim,"No, they'd let me go on as long as I liked.Then the Home Secretary would send round two men in white coats to take me away."
703,Jim,"Claire, phone the BBC back about global warming and give them a version of number six."
706,Jim,I really think you must be misinformed somewhere. Al Gore got the Nobel Peace Prize for his work on global warming.
707,Humphrey,So did Dr Kissinger for his work on the Vietnam War.
710,Jim,(ignoring Claire) You think it's all a scam? I can't get my head around this.
711,Humphrey,"For some people it's a scam. For most, it's just the greatest outbreak of collective hysteria since the witchcraft trials in the seventeenth century."
713,Bernard,"The Ambassador of Kumranistan, Prime Minister."
714,Jim,I'm not ready for him. Oh God!
718,Jim,Ah. Your Excellency!
719,Ambassador,"Prime Minister. Please excuse my deshabille, I had just retired for rhe night when I received your summons."
720,Jim,No problem. We're awfully casual at Chequers.
721,Ambassador,"(turns to Humphrey) Ah, Bubbles, my dear chap. It's like the old days, isn't it? Late night drinks and all that."
722,Jim,Bubbles?
724,Ambassador,They don't know your old nickname?
725,Humphrey,"(mortified) No, they ... er ... a silly thing, Prime Minister ... I used to be partial to champagne, that's all."
726,Jim,"And this is Claire, Head of the Policy Unit at Number Ten."
728,Jim,I'm glad to hear that you and Bubbles are old friends.
730,Ambassador,Yes indeed.
731,Jim,So. Bernard's briefed you?
732,Ambassador,He has.
733,Jim,And?
734,Ambassador,And - what?
735,Jim,Exactly. And what?
737,Ambassador,I'm not sure that I know precisely what you are asking me.
738,Jim,Does Mr Aitikeev mean what he says?
739,Ambassador,"Prime Minister, the Foreign Minister consults me on matters of Kumranistan's policy pertaining to the United Kingdom. Mr Aitikeev's sexual proclivities are not a matter of public policy."
740,Jim,Did you know about his perverted tastes?
741,Ambassador,I don't consider it my business.
742,Humphrey,"Well, unfortunately he's sort of made it our business."
743,Ambassador,"My understanding is that he asked the Prime Minister's Private Secretary to keep it confidential, and the Private Secretary agreed. Now there are five of us discussing it. (To Bernard.) Would you say you kept your word?"
744,Humphrey,"Oh come on, Freddie..."
745,Humphrey,"Bernard couldn't keep it confidential, could he, not after Mr Aitikeev made those threats?"
746,Ambassador,J really can't comment. I didn't hear the conversation.
748,Ambassador,He can be stubborn.
750,Humphrey,Has this sort of ... request been made by him before?
751,Ambassador,"No. Well, yes. In Bangkok, I believe, but no one took any notice because that's par for the course there really, isn't it?"
752,Jim,Is it?
753,Ambassador,Isn't it?
754,Jim,Has this happened anywhere else?
755,Ambassador,"Well, Bombay, the Philippines - you know, a few third-world places but ... that's different."
757,Ambassador,It's understood.
758,Jim,Is it?
759,Ambassador,Isn't it?
761,Ambassador,"I wouldn't know if it's accepted or the norm exactly, but it's certainly not unusual. Look, I suspect that my personal opinion is the same as yours. But I am here, not as a moralist, but as a servant of our government."
762,Jim,So you feel you have to defend him.
763,Ambassador,"He is a member of the government, and my boss."
764,Jim,But there are moral considerations here.
765,Ambassador,"Indeed there are. And in all fairness to Mr Aitikeev, I'm quite sure that he did not ask you to obtain a virgin for him. (Turns to Bernard.) Am I right?"
767,Bernard,"No, funnily enough, he didn't."
768,Ambassador,As I thought. He'd never do that.
769,Jim,Because?
770,Ambassador,Moral considerations. He would not defile her. He would want a girl who has already been defiled.
771,Jim,That's more moral?
772,Ambassador,"In our culture, once a female has been defiled she is worthless. Dishonoured. Her family will not take her back. If they do, they will kill her. Few men would marry her. Her only real future is in a brothel. As a moral society we have no tolerance for that sort of thing."
774,Jim,Are you suggesting that we are a less moral society: than Kumranistan?
775,Ambassador,"I would say, we are even more rigorous about purity than Great Britain, yes. But in this instance Mr Aitikeev is offering an excellent opportunity to such a girl: he's not ungenerous and I'm sure he will give her hundreds of pounds. That's better than death, wouldn't you say?"
777,Ambassador,"Forgive me, but I'm describing our culture. Mr Aitikeev's culture."
778,Jim,But it's wrong.
779,Ambassador,You say tomayto and I say romahto.
780,Jim,What?
781,Ambassador,You believe your values are right. So do we.
784,Ambassador,I'm a diplomat.
786,Ambassador,"I am a Libra. And a member of the MCC, of course."
